polarity,subjectivity,Time 
0.12916612554112553,0.20506709956709954,18-02-22-07-29
0.12916612554112553,0.20506709956709954,18-02-22-07-31
0.12916612554112553,0.20506709956709954,18-02-22-07-32
0.12916612554112553,0.20506709956709954,18-02-22-07-33
0.12916612554112553,0.20506709956709954,18-02-22-07-34
0.12916612554112553,0.20506709956709954,18-02-22-07-35
0.12916612554112553,0.20506709956709954,18-02-22-07-36
0.12916612554112553,0.20506709956709954,18-02-22-07-37
0.12916612554112553,0.20506709956709954,18-02-22-07-38
0.12916612554112553,0.20506709956709954,18-02-22-07-39
0.12916612554112553,0.20506709956709954,18-02-22-07-40
0.12916612554112553,0.20506709956709954,18-02-22-07-41
0.12916612554112553,0.20506709956709954,18-02-22-07-42
0.12916612554112553,0.20506709956709954,18-02-22-07-43
0.12916612554112553,0.20506709956709954,18-02-22-07-44
0.12916612554112553,0.20506709956709954,18-02-22-07-45
0.12916612554112553,0.20506709956709954,18-02-22-07-46
0.12916612554112553,0.20506709956709954,18-02-22-07-47
0.12916612554112553,0.20506709956709954,18-02-22-07-48
0.12916612554112553,0.20506709956709954,18-02-22-07-49
0.12916612554112553,0.20506709956709954,18-02-22-07-50
0.12916612554112553,0.20506709956709954,18-02-22-07-51
0.12916612554112553,0.20506709956709954,18-02-22-07-52
0.12916612554112553,0.20506709956709954,18-02-22-07-53
0.12916612554112553,0.20506709956709954,18-02-22-07-54
0.12916612554112553,0.20506709956709954,18-02-22-07-55
0.12916612554112553,0.20506709956709954,18-02-22-07-56
0.12916612554112553,0.20506709956709954,18-02-22-07-57
0.12916612554112553,0.20506709956709954,18-02-22-07-58
0.12916612554112553,0.20506709956709954,18-02-22-07-59
0.12916612554112553,0.20506709956709954,18-02-22-08-00
0.12916612554112553,0.20506709956709954,18-02-22-08-01
0.12916612554112553,0.20506709956709954,18-02-22-08-02
0.12916612554112553,0.20506709956709954,18-02-22-08-03
0.12916612554112553,0.20506709956709954,18-02-22-08-04
0.12916612554112553,0.20506709956709954,18-02-22-08-05
0.12916612554112553,0.20506709956709954,18-02-22-08-06
0.12916612554112553,0.20506709956709954,18-02-22-08-07
0.12916612554112553,0.20506709956709954,18-02-22-08-08
0.12916612554112553,0.20506709956709954,18-02-22-08-09
0.12916612554112553,0.20506709956709954,18-02-22-08-10
0.12916612554112553,0.20506709956709954,18-02-22-08-11
0.12916612554112553,0.20506709956709954,18-02-22-08-12
0.12916612554112553,0.20506709956709954,18-02-22-08-13
0.12916612554112553,0.20506709956709954,18-02-22-08-14
0.12916612554112553,0.20506709956709954,18-02-22-08-15
0.12916612554112553,0.20506709956709954,18-02-22-08-16
